id,Agemin-max_normalized,Academic Pressuremin-max_normalized,CGPAmin-max_normalized,Study Satisfactionmin-max_normalized,Study Hoursmin-max_normalized,Financial Stressmin-max_normalized
2,0.36585365853658536,1.0,0.897,0.4,0.25,0.0
8,0.14634146341463414,0.4,0.5900000000000001,1.0,0.25,0.25
26,0.3170731707317073,0.6,0.7030000000000001,1.0,0.75,0.0
30,0.24390243902439024,0.6,0.5589999999999999,0.4,0.3333333333333333,1.0
32,0.17073170731707318,0.8,0.8130000000000001,0.6,0.08333333333333333,0.0
33,0.2682926829268293,0.4,0.5700000000000001,0.6,0.3333333333333333,0.0
52,0.2926829268292683,0.6,0.954,0.8,0.08333333333333333,0.25
56,0.2926829268292683,0.4,0.8039999999999999,0.8,0.0,0.0
59,0.24390243902439024,0.6,0.9789999999999999,0.2,1.0,0.5
62,0.3170731707317073,0.4,0.8380000000000001,0.6,0.16666666666666666,1.0
83,0.14634146341463414,0.6,0.61,0.6,0.9166666666666666,0.0
91,0.36585365853658536,0.6,0.7030000000000001,0.8,0.8333333333333334,0.25
94,0.21951219512195122,1.0,0.704,0.2,0.8333333333333334,0.0
100,0.024390243902439025,0.4,0.852,0.8,0.5,0.25
103,0.024390243902439025,1.0,0.564,1.0,0.3333333333333333,1.0
106,0.2682926829268293,0.6,0.858,0.6,0.8333333333333334,0.25
120,0.17073170731707318,1.0,0.651,0.4,0.16666666666666666,1.0
132,0.04878048780487805,1.0,0.725,0.6,0.8333333333333334,0.5
139,0.024390243902439025,0.4,0.783,0.4,0.5,0.5
145,0.17073170731707318,0.6,0.993,0.6,0.6666666666666666,0.5
161,0.2682926829268293,0.6,0.874,0.8,0.08333333333333333,0.0
162,0.2682926829268293,0.6,0.673,0.6,0.0,0.0
166,0.17073170731707318,0.6,0.557,0.6,0.8333333333333334,1.0
172,0.12195121951219512,0.2,0.859,0.8,0.9166666666666666,0.5
173,0.0,0.8,0.71,0.6,0.9166666666666666,1.0
176,0.04878048780487805,1.0,0.858,1.0,0.16666666666666666,0.25
186,0.3170731707317073,0.4,0.608,1.0,0.25,0.5
193,0.17073170731707318,0.6,0.725,0.6,0.8333333333333334,1.0
208,0.36585365853658536,1.0,0.5740000000000001,0.4,0.6666666666666666,0.5
214,0.24390243902439024,0.6,0.986,0.6,0.9166666666666666,0.25
222,0.0,0.8,0.67,1.0,0.4166666666666667,0.75
232,0.0,0.4,0.621,0.6,0.3333333333333333,0.25
239,0.07317073170731707,0.2,0.725,0.2,0.5833333333333334,0.25
240,0.3170731707317073,0.2,0.587,0.6,0.6666666666666666,0.75
242,0.07317073170731707,0.2,0.8039999999999999,0.6,0.0,0.5
253,0.17073170731707318,0.2,0.637,0.6,0.16666666666666666,0.25
255,0.07317073170731707,1.0,0.9720000000000001,0.4,0.0,0.75
263,0.24390243902439024,1.0,0.588,0.6,0.75,0.0
270,0.24390243902439024,0.2,0.9560000000000001,0.4,0.5,0.5
273,0.17073170731707318,0.6,0.651,0.8,0.25,0.75
274,0.04878048780487805,0.6,0.6990000000000001,0.4,0.9166666666666666,1.0
277,0.12195121951219512,0.4,0.61,0.8,0.8333333333333334,0.0
280,0.024390243902439025,0.2,0.524,0.6,0.16666666666666666,0.0
285,0.36585365853658536,0.8,0.921,0.2,0.8333333333333334,1.0
294,0.12195121951219512,0.2,0.7849999999999999,0.8,1.0,1.0
301,0.0975609756097561,0.2,0.993,0.2,0.8333333333333334,0.0
303,0.024390243902439025,0.4,0.6950000000000001,0.4,0.16666666666666666,0.5
305,0.2926829268292683,0.2,0.5860000000000001,0.6,0.08333333333333333,0.75
310,0.07317073170731707,0.6,0.704,0.6,0.08333333333333333,1.0
312,0.024390243902439025,1.0,0.6990000000000001,1.0,0.0,0.75
315,0.12195121951219512,0.6,0.792,0.6,0.8333333333333334,0.75
316,0.12195121951219512,1.0,0.966,0.2,1.0,1.0
324,0.0,0.6,0.5700000000000001,1.0,0.9166666666666666,0.75
328,0.24390243902439024,0.8,0.8939999999999999,0.2,1.0,0.0
335,0.14634146341463414,0.4,0.8039999999999999,0.6,0.6666666666666666,0.0
336,0.36585365853658536,0.2,0.9710000000000001,0.2,0.4166666666666667,0.25
337,0.04878048780487805,0.6,0.8039999999999999,0.4,0.5833333333333334,0.5
340,0.12195121951219512,1.0,0.787,0.2,0.9166666666666666,0.75
343,0.12195121951219512,1.0,0.5740000000000001,0.2,0.9166666666666666,0.75
347,0.14634146341463414,0.6,0.5599999999999999,0.2,0.75,0.25
348,0.17073170731707318,1.0,0.921,0.2,0.5833333333333334,0.5
351,0.14634146341463414,0.8,0.79,0.6,0.25,1.0
367,0.14634146341463414,0.6,0.546,0.8,0.8333333333333334,1.0
370,0.3170731707317073,0.2,0.679,1.0,0.0,0.5
